15:10:07.910 [main] INFO  o.s.web.context.ContextLoader - Root WebApplicationContext: initialization started
15:10:07.939 [main] INFO  o.s.w.c.s.AnnotationConfigWebApplicationContext - Refreshing Root WebApplicationContext: startup date [Thu Sep 04 15:10:07 CST 2014]; root of context hierarchy
15:10:07.979 [main] INFO  o.s.w.c.s.AnnotationConfigWebApplicationContext - Registering annotated classes: [class net.petrikainulainen.spring.datajpa.config.ApplicationContext]
15:10:08.104 [main] INFO  o.s.b.f.xml.XmlBeanDefinitionReader - Loading XML bean definitions from class path resource [applicationContext.xml]
15:10:08.382 [main] INFO  o.s.b.f.a.AutowiredAnnotationBeanPostProcessor - JSR-330 'javax.inject.Inject' annotation found and supported for autowiring
15:10:08.576 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Building JPA container EntityManagerFactory for persistence unit 'default'
15:10:08.604 [main] WARN  o.hibernate.ejb.HibernatePersistence - HHH015016: Encountered a deprecated javax.persistence.spi.PersistenceProvider [org.hibernate.ejb.HibernatePersistence]; use [org.hibernate.jpa.HibernatePersistenceProvider] instead.
15:10:08.618 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [
	name: default
	...]
15:10:08.700 [main] INFO  org.hibernate.Version - HHH000412: Hibernate Core {4.3.6.Final}
15:10:08.714 [main] INFO  org.hibernate.cfg.Environment - HHH000206: hibernate.properties not found
15:10:08.716 [main] INFO  org.hibernate.cfg.Environment - HHH000021: Bytecode provider name : javassist
15:10:08.889 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {4.0.5.Final}
15:10:09.283 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
15:10:09.339 [main] INFO  o.h.h.i.a.ASTQueryTranslatorFactory - HHH000397: Using ASTQueryTranslatorFactory
